time [s],lcerel [],vcerel [1/s],stim [],gamma [],gammad [1/s],q [],fisomrel [],fcerel []
0,1.3924263474216,-0.137442739435265,1.00000000506154,0.0317297158913886,10.8930407531636,0.211301660572276,0.508933551815509,0.103268938137422
0.003125,1.38911742309556,-1.7775225812607,1.00000000343278,0.065236950722937,10.5160843429853,0.523994676690947,0.517179945929428,0.173650073008376
0.00625,1.38280228846476,-2.22567744657431,1.00000000057209,0.0975846592569061,10.1521725897957,0.706778580067977,0.532724515134388,0.217395679196509
0.009375,1.37559588048414,-2.37580026632707,0.999999997182079,0.128812967160876,9.80085408773885,0.804347321663133,0.550152214806577,0.246842187338179
0.0125,1.36808654347309,-2.42518298785319,0.999999993547168,0.158960611559495,9.46169304736206,0.859726921110882,0.567960129190151,0.269317017807975
0.015625,1.36048972244991,-2.4331769380533,0.999999989826837,0.188064989077156,9.13426875843506,0.893615844034978,0.585609566352007,0.288105010485969
0.01875,1.35289819201717,-2.42221104383728,0.999999986116827,0.216162202223155,8.81817506880537,0.915742841792395,0.602879037216241,0.304708280881614
0.021875,1.34535542649654,-2.40214141163179,0.999999982475548,0.243287104173123,8.51301988090426,0.930970027015998,0.619673563103922,0.319869529593434
0.025,1.3378823050807,-2.37775800075331,0.999999978938302,0.269473342001484,8.21842466554158,0.941902239970824,0.63595519105023,0.333987782341514
0.028125,1.33048840699567,-2.35155042753115,0.99999997552563,0.294753398418233,7.93402399246097,0.950025397831584,0.651713688907722,0.347294552597783
0.03125,1.32317732738844,-2.32486904536805,0.999999972248454,0.319158632061633,7.65946507710487,0.956234048102827,0.666952854151986,0.359933754726973
0.034375,1.31594938177283,-2.298462528151,0.999999969111344,0.342719316396717,7.39440734304302,0.961091933821844,0.681683635705884,0.37200050401737
0.0375,1.30880306350893,-2.27274622858993,0.999999966114643,0.365464677267801,7.13852199953079,0.964968429863224,0.695920497345342,0.383561155702439
0.040625,1.30173586344555,-2.24794426289506,0.999999963255883,0.38742292915153,6.8914916336781,0.968113763157969,0.709679428286883,0.394664238819601
0.04375,1.29474474521712,-2.22416832588843,0.99999996053073,0.408621310155434,6.65300981672652,0.970702394374793,0.722976834078103,0.405346720091793
0.046875,1.28782642652603,-2.20146306021729,0.999999957933633,0.429086115805367,6.42278072394773,0.972859041855495,0.735828916432576,0.415637752097169
0.05,1.2809775473412,-2.17983295054661,0.999999955458267,0.448842731663745,6.20051876769338,0.974674841131367,0.748251332557793,0.425561005729098
0.053125,1.27419477040198,-2.15925863434055,0.999999953097836,0.467915664819042,5.98594824314171,0.976217689032319,0.7602590174879,0.435136174221105
0.05625,1.26747484036073,-2.13970696387715,0.999999950845286,0.486328574285581,5.77880298630221,0.977539046112318,0.771866102595674,0.44437997501527
0.059375,1.26081461727801,-2.12113728499493,0.999999948693445,0.504104300351348,5.57882604385437,0.978678518763149,0.783085890988923,0.453306837353461
0.0625,1.25421109406849,-2.1035053773465,0.999999946635119,0.521264892910217,5.38576935441116,0.979667012862353,0.79393086623885,0.46192938733477
0.065625,1.24766140387314,-2.08676592469222,0.999999944663158,0.537831638813738,5.19939344081221,0.980528946740401,0.804412720126237,0.470258798885735
0.06875,1.24116282113557,-2.07087404891703,0.99999994277049,0.553825088276406,5.01946711306487,0.981283831513922,0.814542390631163,0.478305053715055
0.071875,1.23471275879906,-2.05578624190209,0.999999940950141,0.569265080367178,4.84576718156497,0.981947417755701,0.82433010477339,0.486077138038574
0.075,1.2283087631827,-2.04146090780412,0.999999939195248,0.584170767618839,4.67807818024144,0.982532539679379,0.833785423003778,0.493583194416608
0.078125,1.22194850754634,-2.02785865277034,0.99999993749905,0.598560639785766,4.51619209928148,0.983049744955556,0.842917283156733,0.500830641073932
0.08125,1.21562978499813,-2.01494241139664,0.999999935854884,0.612452546779539,4.35990812710484,0.983507770373788,0.851734042798666,0.507826267213997
0.084375,1.20935050116611,-2.0026774686327,0.999999934256164,0.625863720810872,4.20903240126693,0.983913905151819,0.860243519328763,0.514576310294939
0.0875,1.20310866690188,-1.99103141595575,0.999999932696362,0.638810797765297,4.06337776798205,0.984274271335818,0.868453027517032,0.521086519525833
0.090625,1.19690239118276,-1.97997406757424,0.999999931168985,0.651309837839156,3.92276354996833,0.984594042311874,0.876369414370253,0.527362208672943
0.09375,1.19072987431153,-1.96947735376262,0.999999929667542,0.663376345461465,3.78701532232629,0.984877614623769,0.883999091342823,0.533408300453187
